target,feature_set,n_features,model,auc,sensitivity,specificity,f1,sens@90spec,sens@95spec,n_train_pos,n_train_neg,n_test_pos,n_test_neg
CD,F0: age+sex,2,LogReg,0.6915546950927911,0.6507042253521127,0.5941949616648412,0.34815373021853807,0.32366197183098594,0.22183098591549297,1353,7242,355,1826
CD,F0: age+sex,2,RF,0.698215911019237,0.6450704225352113,0.6653888280394304,0.3832635983263598,0.34704225352112683,0.23272576636288317,1353,7242,355,1826
CD,F0: age+sex,2,GBM,0.6980709007605326,0.036619718309859155,0.9950711938663745,0.06896551724137931,0.32366197183098594,0.243993371996686,1353,7242,355,1826
CD,F1: +β_mean,3,LogReg,0.730154420498897,0.6028169014084507,0.7371303395399781,0.40800762631077214,0.4563380281690141,0.38309859154929576,1353,7242,355,1826
CD,F1: +β_mean,3,RF,0.7463994261296145,0.5492957746478874,0.8263964950711938,0.44982698961937717,0.4507042253521127,0.38873239436619716,1353,7242,355,1826
CD,F1: +β_mean,3,GBM,0.7406290976968051,0.27605633802816903,0.9819277108433735,0.40329218106995884,0.428169014084507,0.36056338028169016,1353,7242,355,1826
CD,F2: +β_summary,6,LogReg,0.7404177529580549,0.6028169014084507,0.7426067907995619,0.41193455245428295,0.4619718309859155,0.38873239436619716,1353,7242,355,1826
CD,F2: +β_summary,6,RF,0.7572235163445074,0.5267605633802817,0.8537787513691129,0.4622991347342398,0.4704225352112676,0.39154929577464787,1353,7242,355,1826
CD,F2: +β_summary,6,GBM,0.7457661632445274,0.28450704225352114,0.9824753559693319,0.4139344262295082,0.4563380281690141,0.35774647887323946,1353,7242,355,1826
CD,F3: +regional,10,LogReg,0.7601715440507227,0.6140845070422535,0.7732749178532311,0.44174265450861194,0.49014084507042255,0.4056338028169014,1353,7242,355,1826
CD,F3: +regional,10,RF,0.769032596454962,0.49577464788732395,0.8948521358159912,0.48686030428769017,0.49577464788732395,0.4028169014084507,1353,7242,355,1826
CD,F3: +regional,10,GBM,0.7579115437421904,0.30985915492957744,0.9830230010952903,0.4435483870967742,0.49014084507042255,0.4253521126760563,1353,7242,355,1826
CD,F4: +all_leads,22,LogReg,0.7988507165666506,0.6732394366197183,0.7995618838992333,0.4979166666666667,0.5605633802816902,0.4535211267605634,1353,7242,355,1826
CD,F4: +all_leads,22,RF,0.8199173132992919,0.543661971830986,0.9326396495071194,0.5752608047690015,0.6056338028169014,0.49295774647887325,1353,7242,355,1826
CD,F4: +all_leads,22,GBM,0.8096956327229533,0.4225352112676056,0.9731653888280394,0.5415162454873647,0.5943661971830986,0.5070422535211268,1353,7242,355,1826
CD,F5: +R²,36,LogReg,0.8203646853740184,0.704225352112676,0.812157721796276,0.5274261603375527,0.5859154929577465,0.4563380281690141,1353,7242,355,1826
CD,F5: +R²,36,RF,0.844777316693149,0.543661971830986,0.9507119386637459,0.6050156739811913,0.6366197183098592,0.5492957746478874,1353,7242,355,1826
CD,F5: +R²,36,GBM,0.8368619162951423,0.4704225352112676,0.9780941949616648,0.594306049822064,0.6450704225352113,0.5661971830985916,1353,7242,355,1826
CD,F6: +derived,41,LogReg,0.8221094364654522,0.6985915492957746,0.8127053669222344,0.5248677248677248,0.5802816901408451,0.48169014084507045,1353,7242,355,1826
CD,F6: +derived,41,RF,0.8473242521944373,0.5211267605633803,0.9605695509309967,0.6045751633986928,0.6394366197183099,0.5521126760563381,1353,7242,355,1826
CD,F6: +derived,41,GBM,0.8413634049642874,0.476056338028169,0.975355969331873,0.5940246045694201,0.6422535211267606,0.5633802816901409,1353,7242,355,1826
CD,F7: +specparam,54,LogReg,0.8278944201903645,0.6957746478873239,0.816538882803943,0.5272145144076841,0.5915492957746479,0.4732394366197183,1353,7242,355,1826
CD,F7: +specparam,54,RF,0.8475479382318005,0.523943661971831,0.963855421686747,0.6128500823723229,0.6422535211267606,0.5521126760563381,1353,7242,355,1826
CD,F7: +specparam,54,GBM,0.847446122518242,0.48169014084507045,0.9791894852135816,0.6063829787234043,0.6535211267605634,0.5802816901408451,1353,7242,355,1826
MI,F0: age+sex,2,LogReg,0.740231422063043,0.7484662576687117,0.5930996714129244,0.45807259073842305,0.32222222222222224,0.1960633946830266,2043,7242,489,1826
MI,F0: age+sex,2,RF,0.6902506848363896,0.7668711656441718,0.536144578313253,0.43834015195791937,0.25135845749342683,0.13976278118609406,2043,7242,489,1826
MI,F0: age+sex,2,GBM,0.6894941730110626,0.06748466257668712,0.9775465498357064,0.1172291296625222,0.23575206261899725,0.14592138150420358,2043,7242,489,1826
MI,F1: +β_mean,3,LogReg,0.7384664144587273,0.7096114519427403,0.6276013143483024,0.4577836411609499,0.36400817995910023,0.24948875255623723,2043,7242,489,1826
MI,F1: +β_mean,3,RF,0.7171620111231317,0.7239263803680982,0.5991237677984665,0.44952380952380955,0.2842535787321063,0.19427402862985685,2043,7242,489,1826
MI,F1: +β_mean,3,GBM,0.7149193539355414,0.1656441717791411,0.9644030668127054,0.2551181102362205,0.3006134969325153,0.19631901840490798,2043,7242,489,1826
MI,F2: +β_summary,6,LogReg,0.7656672423100096,0.7157464212678937,0.6801752464403067,0.49191848208011246,0.41922290388548056,0.2985685071574642,2043,7242,489,1826
MI,F2: +β_summary,6,RF,0.7539617477159054,0.7239263803680982,0.6248630887185104,0.46335078534031415,0.3496932515337423,0.2392638036809816,2043,7242,489,1826
