gene,age,mean,std,cv,fano,bc,entropy,frac_detected,n_cells,n_nonzero
Gja1,3-month-old stage,319.8923034667969,331.36846923828125,1.0358750820159912,343.2563781738281,0.5689595937728882,3.5380487226049544,0.6341463414634146,615,390
Gja1,18-month-old stage,211.35293579101562,322.0790710449219,1.5238921642303467,490.8138122558594,0.76322340965271,2.514947833674116,0.34,300,102
Gja1,20-month-old stage and over,635.3865356445312,824.5965576171875,1.2977873086929321,1070.1510009765625,0.7007609009742737,3.3176408757032085,0.4857142857142857,735,357
Gja5,3-month-old stage,84.81999969482422,122.39030456542969,1.4429415464401245,176.60206604003906,0.7150552868843079,2.9337639842767373,0.24390243902439024,615,150
Gja5,18-month-old stage,232.07691955566406,378.65478515625,1.631591796875,617.81005859375,0.8164770603179932,2.1887870678023824,0.13,300,39
Gja5,20-month-old stage and over,174.27999877929688,214.98036193847656,1.233534336090088,265.1856689453125,0.8021680116653442,3.376691261048899,0.20408163265306123,735,150
Gjc1,3-month-old stage,74.37837982177734,123.52073669433594,1.6607075929641724,205.13182067871094,0.7747148871421814,2.621574154608783,0.18048780487804877,615,111
Gjc1,18-month-old stage,46.08333206176758,56.37147521972656,1.2232508659362793,68.95645141601562,0.8098320364952087,2.792481250360578,0.12,300,36
Gjc1,20-month-old stage and over,57.578125,100.07213592529297,1.7380235195159912,173.927734375,0.7360457181930542,2.2849416163968543,0.2612244897959184,735,192
Scn5a,3-month-old stage,76.89189147949219,102.6287612915039,1.3347150087356567,136.98013305664062,0.7925484776496887,3.0576577897761354,0.36097560975609755,615,222
Scn5a,18-month-old stage,,,,,,,0.0,300,0
Scn5a,20-month-old stage and over,197.76712036132812,387.4818420410156,1.959283471107483,759.1867065429688,0.8273210525512695,2.100540253584828,0.2979591836734694,735,219
Kcnj2,3-month-old stage,31.510639190673828,42.69430160522461,1.354917049407959,57.84723663330078,0.762402355670929,3.0296732248040814,0.22926829268292684,615,141
Kcnj2,18-month-old stage,412.3999938964844,497.017333984375,1.205182671546936,598.9967041015625,0.8625904321670532,2.321928094887362,0.05,300,15
Kcnj2,20-month-old stage and over,51.20408248901367,182.26791381835938,3.559636354446411,648.8074951171875,0.9528300762176514,0.815334187101568,0.2,735,147
Cacna1c,3-month-old stage,32.49275207519531,48.80117416381836,1.5019094944000244,73.2949447631836,0.8211636543273926,3.016315579245418,0.33658536585365856,615,207
Cacna1c,18-month-old stage,79.33333587646484,89.86780548095703,1.1327874660491943,101.80111694335938,,1.584962500721156,0.03,300,9
Cacna1c,20-month-old stage and over,73.57142639160156,87.89093780517578,1.194634199142456,104.99751281738281,0.6347848176956177,3.2161952032179135,0.2857142857142857,735,210
Dsp,3-month-old stage,344.6068420410156,253.63339233398438,0.7360079884529114,186.67620849609375,0.47505679726600647,4.306056034370405,0.5707317073170731,615,351
Dsp,18-month-old stage,139.1199951171875,367.8929443359375,2.6444289684295654,972.8667602539062,0.8950477838516235,1.3354312795575998,0.25,300,75
Dsp,20-month-old stage and over,525.7830200195312,610.3587036132812,1.1608566045761108,708.5390014648438,0.6404812335968018,3.28485707162115,0.4326530612244898,735,318
Jup,3-month-old stage,170.3014678955078,308.920654296875,1.813963532447815,560.3707885742188,0.8360788822174072,2.5228745815272644,0.6634146341463415,615,408
