gene,age,subset,n_cells,n_nonzero,frac_detected,mean,cv,fano,bc,entropy,median
Gja1,3-month-old stage,raw,615,390,0.6341463414634146,319.8923034667969,1.0358750820159912,343.2563781738281,0.5689595937728882,3.5380487226049544,252.0
Gja1,18-month-old stage,raw,300,102,0.34,211.35293579101562,1.5238921642303467,490.8138122558594,0.76322340965271,2.514947833674116,32.0
Gja1,20-month-old stage and over,raw,735,357,0.4857142857142857,635.3865356445312,1.2977873086929321,1070.1510009765625,0.7007609009742737,3.3176408757032085,329.0
Gja5,3-month-old stage,raw,615,150,0.24390243902439024,84.81999969482422,1.4429415464401245,176.60206604003906,0.7150552868843079,2.9337639842767373,37.5
Gja5,18-month-old stage,raw,300,39,0.13,232.07691955566406,1.631591796875,617.81005859375,0.8164770603179932,2.1887870678023824,11.0
Gja5,20-month-old stage and over,raw,735,150,0.20408163265306123,174.27999877929688,1.233534336090088,265.1856689453125,0.8021680116653442,3.376691261048899,100.5
Gjc1,3-month-old stage,raw,615,111,0.18048780487804877,74.37837982177734,1.6607075929641724,205.13182067871094,0.7747148871421814,2.621574154608783,29.0
Gjc1,18-month-old stage,raw,300,36,0.12,46.08333206176758,1.2232508659362793,68.95645141601562,0.8098320364952087,2.792481250360578,16.0
Gjc1,20-month-old stage and over,raw,735,192,0.2612244897959184,57.578125,1.7380235195159912,173.927734375,0.7360457181930542,2.2849416163968543,18.5
Scn5a,3-month-old stage,raw,615,222,0.36097560975609755,76.89189147949219,1.3347150087356567,136.98013305664062,0.7925484776496887,3.0576577897761354,42.5
Scn5a,18-month-old stage,raw,300,0,0.0,,,,,,
Scn5a,20-month-old stage and over,raw,735,219,0.2979591836734694,197.76712036132812,1.959283471107483,759.1867065429688,0.8273210525512695,2.100540253584828,103.0
Kcnj2,3-month-old stage,raw,615,141,0.22926829268292684,31.510639190673828,1.354917049407959,57.84723663330078,0.762402355670929,3.0296732248040814,18.0
Kcnj2,18-month-old stage,raw,300,15,0.05,412.3999938964844,1.205182671546936,598.9967041015625,0.8625904321670532,2.321928094887362,203.0
Kcnj2,20-month-old stage and over,raw,735,147,0.2,51.20408248901367,3.559636354446411,648.8074951171875,0.9528300762176514,0.815334187101568,15.0
Cacna1c,3-month-old stage,raw,615,207,0.33658536585365856,32.49275207519531,1.5019094944000244,73.2949447631836,0.8211636543273926,3.016315579245418,17.0
Cacna1c,18-month-old stage,raw,300,9,0.03,79.33333587646484,1.1327874660491943,101.80111694335938,,1.584962500721156,25.0
