cell_type,age,n_cells,E_intra_full,E_intra_cardiac,E_intra_hk,J_full,J_cardiac,J_hk,E_inter_full,E_inter_cardiac,E_inter_hk
Cardiomyocyte,3-month-old stage,615,8.832921981811523,2.284394919363464,3.1676857471466064,0.7968916429143446,0.6650969433912919,0.7293413125713292,0.41655801872499043,0.15949918036142038,0.275497429400639
Cardiomyocyte,18-month-old stage,300,7.778883457183838,1.6336513909697532,2.473012924194336,0.7434610345801881,0.5670788993189261,0.6001993341355939,0.5125057926023497,0.29425842732037394,0.35845746105093235
Cardiomyocyte,20-month-old stage and over,735,8.035304069519043,1.7674359047215205,2.677794933319092,0.7427577137460714,0.5480490767539294,0.6339102084504548,0.4923957322393086,0.2780003628434859,0.3088430527040192
Fibroblast,3-month-old stage,6354,9.271428108215332,0.9454581608016983,3.6178200244903564,0.8150698605704662,0.5388261538113348,0.7868763454276206,0.3190272221272317,0.42523049009730657,0.13164820137286878
Fibroblast,18-month-old stage,2325,9.457931518554688,1.1034166573444681,3.5724282264709473,0.8230672851373384,0.5658154708170414,0.7770976835392589,0.3267766280847652,0.4302869377809166,0.12373524420236529
Fibroblast,20-month-old stage and over,2454,9.17510986328125,0.7682631815066971,3.6486711502075195,0.8288750447274296,0.4529878657079822,0.7999407425987034,0.379589748545229,0.4761237415087291,0.16608988044180534
